Data;Value;;Valueee
497;235,27;;235.27
498;234,18;;234.18
499;236,46;;236.46
500;231,27;;231.27
501;226,39;;226.39
502;219,43;;219.43
503;229,29;;229.29
504;225,85;;225.85
505;225,81;;225.81
506;236,15;;236.15
507;232,08;;232.08
508;234,93;;234.93
509;240,36;;240.36
510;239,02;;239.02
511;236,12;;236.12
512;229,78;;229.78
513;237,33;;237.33
514;243,86;;243.86
515;241,83;;241.83
516;240,3;;240.3
517;242,16;;242.16
518;241,11;;241.11
519;236,38;;236.38
520;236,93;;236.93
521;237,6;;237.6
522;236,15;;236.15
523;236,8;;236.8
